kannada,image,english,ksentence,category,saudio,kanglish,word_id,waudio,esentence,kesentence,icon
ವಿಮಾನ,https://i.postimg.cc/T3yg8M3v/aeroplane.jpg,aeroplane,ಆಕಾಶದಲ್ಲಿ ವಿಮಾನ ಹಾರುತ್ತಿದೆ.,Items,https://audio.jukehost.co.uk/ipr91fDJI2Z1LAnoYowLtNZQHkvU3WG2,vimaana,32,https://audio.jukehost.co.uk/j71cI2hXHCMj4xgerY20Ci00LFb21C6G,aakaashadalli vimaana haarutthide.,An aeroplane is flying in the sky.,https://upcdn.io/kW15bgo/raw/learnkannada/images/aeroplane.png
ಚೆಂಡು,https://i.postimg.cc/K8dLxq1k/ball.jpg,ball,ನನಗೆ ನನ್ನ ಕೆಂಪು ಚೆಂಡು ಬಹಳ ಇಷ್ಟ!,Items,https://audio.jukehost.co.uk/swOHtlSmkVpXorvn7EOEqwoZF7z5dCQl,chendu,35,https://audio.jukehost.co.uk/THatibxEmEyABjGP6h0TIwkbh7Zl2ai4,nanage nanna kempu chendu bahala ishta!,I very much like my red ball!,https://upcdn.io/kW15bgo/raw/learnkannada/images/ball.png
ಕರಡಿ,https://i.postimg.cc/ZRNT8HHN/bear.jpg,bear,"ಅಲ್ಲಿ ನೋಡು, ಮರದ ಪಕ್ಕದಲ್ಲಿ‌ ಕರಡಿ ನಿಂತಿದೆ.",Animals,https://audio.jukehost.co.uk/nnuSFfOFukF8I1ifVJVzzQY0kYv9VljP,karadi,1,https://audio.jukehost.co.uk/Nj4fs1gImV4CriUxJ23u9sljA62LrRo9,"Alli nodu, maradha pakkadalli karadi ninthide.","see over there, there's a bear standing beside the tree.",https://upcdn.io/kW15bgo/raw/learnkannada/images/bear.png
ಪಕ್ಷಿ,https://i.postimg.cc/L8YgvQt0/bird.jpg,bird,"ಅಲ್ಲಿ ನೋಡು, ಮರದ ಮೇಲೆ ಪಕ್ಷಿ ಕುಳಿತಿದೆ.",Animals,https://audio.jukehost.co.uk/diBYLnNfFchLsIsIQtb6R91wVZCnPaCE,pakshi,2,https://audio.jukehost.co.uk/Ov5WK54Irf2fG57H5QibvW0j7CQKcf92,"Alli nodu, maradha mele pakshi kulithide.","see over there, there's a bird sitting on the tree.",https://upcdn.io/kW15bgo/raw/learnkannada/images/bird.png
ದೋಣಿ,https://i.postimg.cc/GpGD2FDM/boat.jpg,boat,ನೀರ ಬಿಟ್ಟು ನೆಲದ ಮೇಲೆ ದೋಣಿ ಸಾಗದು.,Items,https://audio.jukehost.co.uk/vwNUy3VniIeqmpHleOmp2xGBUdhGObE0,doni,34,https://audio.jukehost.co.uk/iliVwFrnWDuBuC2UiTP1caQtX8r3xrm2,neera bittu nelada mele doni saagadu.,A boat cannot travel on land instead of water.,https://upcdn.io/kW15bgo/raw/learnkannada/images/boat.png
ಪುಸ್ತಕ,https://i.postimg.cc/XYyGHfsV/book.jpg,book,ಅಜ್ಜಿ ಪುಸ್ತಕ ಓದುತ್ತಿದ್ದಾರೆ.,Items,https://audio.jukehost.co.uk/1BMXDLuEOyiRbClhnkwEsYoPwK4aMiK1,pustaka,48,https://audio.jukehost.co.uk/0ZZFKNcRDlH2DlpvyQLVoxDrAFcpEdiD,ajji pusthaka odhutthiddaare.,Grandma is reading the newspaper.,https://upcdn.io/kW15bgo/raw/learnkannada/images/book.png
ಚಿಟ್ಟೆ,https://i.postimg.cc/PfSLHnKR/butterfly.jpg,butterfly,ಗುಲಾಬಿ ಹೂವಿನ ಮೇಲೆ ಚಿಟ್ಟೆ ಕುಳಿತಿದೆ.,Animals,https://audio.jukehost.co.uk/8pDC0LcDdeTrfyo6bp0d5KOEqas6puRh,chitte,3,https://audio.jukehost.co.uk/FZztiDJBjx9RF8lLgKNHByrmBlkkFxX4,gulaabi hoovina mele chitte kulithide.,a butterfly is sitting on rose (rose flower).,https://upcdn.io/kW15bgo/raw/learnkannada/images/butterfly.png
ಮೇಣದಬತ್ತಿ,https://i.postimg.cc/yYG3yQXQ/candle.jpg,candle,ಕತ್ತಲಿನಲ್ಲಿ ಮೇಣದಬತ್ತಿ ಬೆಳಕು ನೀಡುತ್ತದೆ.,Items,https://audio.jukehost.co.uk/iuzXPZ692ATmH2l4OVCsCVgOpX6JiAUA,menadabatti,37,https://audio.jukehost.co.uk/Cdvru5EdKpNRwCXCFy9aaNmnGCNG8gCW,katthalinalli menadabatti belaku needutthade.,Candle gives light in the dark.,https://upcdn.io/kW15bgo/raw/learnkannada/images/candle.png
ಬೆಕ್ಕು,https://i.postimg.cc/fyqkfYJN/cat.jpg,cat,ಬೆಕ್ಕು ಬಾಗಿಲಿನ ಮುಂದೆ ನಿಂತಿದೆ.,Animals,https://audio.jukehost.co.uk/xx9XZcCVaHiUz7v2Ec7x1htX1qKDmSFV,bekku,4,https://audio.jukehost.co.uk/MEMGA1FrJ7Ye26BA1olPeqCCRIhr8EBx,bekku baagilina mundhe ninthide.,a cat is standing in front of the door.,https://upcdn.io/kW15bgo/raw/learnkannada/images/cat.png
ಕುರ್ಚಿ,https://i.postimg.cc/65qGRJR4/chair.jpg,chair,ಈ ಕುರ್ಚಿಯನ್ನು ಮರದಿಂದ ಮಾಡಿದ್ದಾರೆ.,Items,https://audio.jukehost.co.uk/iVDnJul08TFHH51HMPvXnDmYYNOMND0p,kurchi,49,https://audio.jukehost.co.uk/8C5gJnpeNmZx7t18remXWXdkL875gkly,ee kurchi-yannu maradhindha maadiddhaare.,This chair is made with wood.,https://upcdn.io/kW15bgo/raw/learnkannada/images/chair.png
